particle n.微粒,极小量
asthenosphere n.  岩流圈
periphery n.  外围
supercontinent n.  [地]超大陆
discrete a.  不连续的, 离散的
hieroglyphic n.  象形文字
condenser n.  冷凝器, 电容器
bilingual a.能说两种语言的
streptomycin n.  链霉素
innermost a.  最里面的, 内心的
jellyfish n.  水母
stagnant a.停滞的；萧条的
afar ad.  遥远地
epic n.  史诗, 伟大事迹
circumscribe vt.在…周围画线；限制
inactive a.不活动的, 怠惰的
alkaloid n.  [化]生物碱
televise v.  广播, 播映
stump n.树桩;残余部分.vi.笨重地走,使为难
reciprocate v.   互换,  交换
labellum n.  （兰花的） 唇瓣
fishery n.  渔业, 水产业
necrosis n.  坏死
stag n.  牡鹿. vi.  不带女伴参加晚会
encroach vi. 侵占,侵犯
syllable n. 音节
sequoia n.  [植] 美洲杉
humor n.  幽默, 诙谐
tempera n.  蛋彩画
dogwood n.  山茱萸
switzerland n.  瑞士(欧洲中部国家)
plank n.厚木板(条)
notoriously ad. 臭名昭著地, 众所周知地
plutonic a.  火成岩的
aggravate vt.  使恶化, 加重
neutralize v.  压制
condor n.  [动]秃鹰, 秃鹫
sprout v.  萌芽 n.  苗芽
corpse n.  尸体
attainment n.  达到
progression n.  行进, 级数
oceanographer n.  海洋学者, 海洋研究者
legitimately ad. 正当地, 合理地
estuarine a.入海的, 在入海口形成的
waterfront n.  水边地码头区, 滨水地区
carboniferous n. 石炭层
believable a.可信的
regularize vt.  使有规则, 使有秩序
skeletal a.  骨骼的, 梗概的
landmark n.  (航海)陆标, 地界标
hinder v.  阻碍, 打扰
serpentine a.  蜿蜒的
bog n.  沼泽
tentatively ad.  试验性地,犹豫不决地
regeneration n.  再生, 重建
contour n.  轮廓
kiwi n.  [鸟]几维(一种新西兰产的无翼鸟)
hummingbird n.  蜂雀
hydroponic a.  溶液培养的
currier n. 制革匠
semitic n. /a. 闪族人(语) (的)
randomly ad.  随便地,任意地
intergalactic a.银河间的, 星际间的
diffuses v.  扩散,弥漫
synonymous a.  同义的
discoloration n.  变色, 污点
laborious a.  艰苦的, 费劲的
backdrop n.  背景幕, 背景
refractory a.  难控制的,耐火的
soilless a.  不用泥土(培植)的
nebular a. [天]星云的
someday ad.  有朝一日
journalism n.新闻业；新闻工作
complementary a.补充的, 补足的
nectar n.[希神] 神酒, 任何美味的饮料, 花蜜
usa abbr.美国(美利坚合众国)
adornment n.装饰, 装饰品
imperative n.命令,祈使语气.a.命令的,强制的
lesley n.莱斯利（女子名）
ppm abbr. 百万分率，百万分之…（parts per million）
purification n.净化
assortment n.分类,混合物
astound vt.使惊骇, 使大吃一惊
one-quarter a.四分之一的
id abbr. 身份 (identification, identity).n.遗传素质
germinate v.发芽,使生长
nitric a.[化]氮的, 含氮的
viscosity n.粘质, 粘性
intrude v.侵入,强挤入
dating n.约会.v. 约会
incomprehensible a.费解的,不可思议的
evidently ad.显然,清楚地
theropod a.兽性的，野兽般的
precarious a.危险的,不确定的
wispy a.纤细的, 脆弱的
artificially ad.人工地,不自然地
exempt v.免除.a.被免除的
vacancy n.空白, 空缺
rehabilitate vt.修复, 改造
intoxication n.陶醉,中毒
auger n.螺丝钻.vt.用钻子钻洞于
longtime a.(已持续)长时间的.ad.长久地
validate vt. [律]使有效, 使生效
sulfide n. <美>[化]硫化物
sensibility n.敏感性,识别力
ether n.天空醚, 大气
tenon n.[木工]榫.vt.接榫, 造榫
whittle v.切, 削.n.屠刀
supersede v.代替, 取代
dehydrate v.(使)脱水
amino a.氨基的.n. [化学] 氨基
subjective a.主观的, 个人的
fertilization n.肥沃, 施肥, 授精
celestial a.天上的.n.神仙
petrifaction n.石化, 化石
regolith n.[地质]风化层, 土被
marrow n.精华, 活力
ptarmigan n.松鸡类
hydroxyapatite n.[矿]羟磷灰石
percolate n.滤过之液体,滤液.v.过滤
stun vt.使晕倒,打晕.n.打昏,惊倒
mudflats n.泥滩
mineralize v.使矿物化,采集矿物
calcareous a.钙质的,石灰质的
eyebrow n.眉毛
bedcover n.被面
vaguely ad.含糊地, 暧昧地
hundredfold a.百倍的.n.百倍, 百重
agriculturally ad.农业上
pinhead n.针头, 小东西
immersion n.沉浸,专心
founding a.创办的.n.资金
scuba n.水中呼吸器
sunlit a.被日光照射了的, 阳光照射的
collectible a.可收集的, 可代收的
shade-tolerant a.耐阴的
orchestral a.管弦乐的,管弦乐队的
landslide n.[地]山崩, 滑坡
counteract vt.抵消, 中和, 阻碍
stature n.身高,(精神、道德等的)高度
relaxation n.松弛, 放宽
remediation n.补习,补救
unincorporated n.未联合的,未合并的
profile n.侧面,轮廓
spurge n.[植]大戟
calotype n.光力照像法
molasses n.<美>糖蜜
needlefish n.[动] 颌针鱼(一种长嘴便鳞之海鱼)
discriminate v.歧视,区别待遇
fireball n.火球, 大流星
improvisation n.即席创作
meteor n.流星, 大气现象
comprehensible a.可理解的
etch v.蚀刻
hale a.强壮的.v.硬拖
ingoing a.进入的.n.进入,迁就
realistically ad.现实地,逼真地
artistry n.艺术之性质
knowledgeable a.知识渊博的, 有见识的
recede v.后退
organically ad.器官上地, 有机地
unintentionally ad.无意地,非故意地
geomagnetic a. 地磁的,地磁气的
magnetize v.使磁化, 吸引
recess n.(墙壁等的)凹进处.v.使凹进,休假
bonito n.鲣
hatchling n.人工孵化的鱼苗或小鸟
vocal a.声音的,有声的.n.元音
elongate v.拉长, (使)伸长.a.伸长的
linoleum n.油布, 油毯
armor n.装甲.vt.为…装甲
customarily ad.通常,习惯上
franklin n.小地主, 乡绅
morally ad.道德上
inconspicuous a.不显眼的,不引人注意的
utterance n.意见, 说话, 发表
treasury n.财政部, 国库
heartbeat n.心跳
unify vt.统一,使成一体
scat vi.  迅速走开.n.爵士音乐中无意义的音节的演唱
unexplored a.[地质] 未勘查过的
upland n.丘陵地, 高地.a.高地的,山地的
friendliness n.友谊,友善
wingspan n.[空]翼展
flicker n./v.闪烁,摇曳
anvil n.[解]砧骨
proximity n.接近, 亲近
excellence n.优秀, 卓越
loggerhead n.傻子,铁球棒
pertain vi.适合, 属于
demonstration n.示范, 实证
dike n.堤防.vt.筑堤提防
ineffective a.无效的, (指人)工作效率低的
rooftop n.屋顶.a.屋顶上的
interplanetary a.太阳系内的,行星间的
caput n.头, 首
receptiveness n. 感受性,接受能力
high-energy a.高能量,高能率
animate v.鼓舞.a.生气勃勃的
militaristic a.军国主义的
acreage n.英亩数, 面积
impersonation n.扮演
reabsorb vi.再吸附,重吸收
overturn n.倾覆, 破灭.v.推翻, 颠倒
squarely ad.方形地, 直角地
henderson n.亨德森（姓氏）
rawhide n.生牛皮.vt.用生牛皮鞭抽打.a.生牛皮的
nonagricultural a.非农业的
dale n.宽谷, 溪谷
devastation n.毁坏,荒废
fletcher n.<古>造箭者,弗莱彻
paradoxically ad.相矛盾地,似非而是地
credible a.可信的,可靠的
flute n.长笛.v.吹长笛,刻槽
inequality n.不等式,不均等,不平衡
pedagogy n.教学, 教授
trait n.显著的特点, 特性
autonomy n.自治
exuberant a.繁茂的,生气勃勃的
cast-iron n.[材] 铸铁，生铁，锻铁
reaper n.收割者, 收割机
self-image n.自身形象
bellow v.怒吼, 咆哮
unreal a.不真实的, 虚幻的
child-oriented a.以孩子为导向的
receptive a.善于接受的,能容纳的
unplanned a.意外的,在计划外的
longevity n.长命, 寿命
nomad n.游牧部落的人,流浪者.a.游牧的
mongolia n.蒙古
clarity n.清楚,透明
sexually ad.性别地,两性之间地
lifeway n.生活方式, 生活
facade n.正面
torrid a.晒热的,热情的
neuron n.[解]神经细胞,神经元
eukaryote n.〈生〉真核细胞
commensal a.共餐的.n.共食伙伴, 共生物
inadvertently ad.非故意地,不注意地
roadbed n.路基
encompass vt.包围,环绕
outnumber vt.数目超过, 比...多
metabolize v.产生代谢变化
administer v.管理, 给予, 执行
diversify vt.使多样化, 作多样性的投资
neurospora n.  [微]脉孢菌
subsidy n.补助金,津贴
yellowstone n.黄石国家公园, 黄石河
paucity n.极小量
make-up n.化妆品,（美）补考
burin n.冰凿,雕刻刀
walrus n.[动]海象, 海象胡须
incubator n.培养的器具, 孵卵器
poorhouse n.救济院
subsidize vt.资助,津贴
excitation n.  刺激,兴奋, 激动
amniotic a.[昆] 羊膜的
porpoise n.[动]海豚, 小鲸
spew v.喷涌,呕吐
emanate vi.散发,发出
noxious a.有害的
shun vt.避开,避免
individually ad.个别地,单独地
aggregation n.集合,集合体
erectus a. [拉丁语]直立的
sleepiness n.想睡,瞌睡
oneness n.单一,  统一
excrete vt.排泄, 分泌
infection n.传染病, 影响,
piling n.打桩, 打桩工程
analyst n.分析家, 分解者
regulator n.调整者,调整器
toolmaking n.工具(或刀具)制造,机床维修
morphology n.[生物]形态学, [语法]词法
hiccup n.打嗝.v.打嗝
platypus n.[动]鸭嘴兽
halite n.[化]岩盐
subsist v.生存, 存在, 供养
high-resolution n.高分辨,[光] 高分辨率
meteorologist n.气象学者
undeveloped a.不发达的, 未开发的
conestoga n.一种大篷马车
unexpectedly ad.出乎意料地,意外地
abrupt a.突然的,陡峭的,生硬的
nowcasting n.预告
readership n.读者的身分, 读者人数
individuality n.个性,(通常用复数)个人的嗜好
squander v.浪费.n.浪费
mesopotamian n.美索不达米亚（两河流域）
birdlike a.敏捷轻快的,似鸟的
somerset n.翻筋斗.vi.翻筋斗
dampen v.使潮湿,沮丧
textural a.组织的,结构的
derrick n.起重机, (钻井)井口上的铁架塔
phoenix n.凤凰,完人
impersonal a.客观的,没有人情味的
secular a.长期的,世俗的
onward a.向前的.ad.向前,在前面
expend vt.花费,消耗,支出
coal-fired a.烧煤的
commitment n.委托事项,许诺
pluto n.冥王星, 阴间之神
chicopee n.奇科皮（美国马萨诸塞州西南部城市）
patchy a.补丁的, 不调和的
clinical a.临床的,诊所的
verbalize v.用语言描述,累赘
cellulose n.纤维素,（植物的）细胞膜质
patricia n.帕特丽夏（女子名）
yam n.山药, 洋芋
sharper n.磨具,(赌博中的)骗子
candlelight n.烛火,黄昏
allocation n.分配,安置
vantage n.优势,有利情况
flowerbed n.花床,花圃
debatable a.成问题的,未决定的
petrochemical a.石化的.n.石化产品
life-form n.生命形态
objectify vt.使客观化,具体化
alternatively ad.做为选择,二者择一地
intelligible a.可理解的,明了的
vacate v.腾出, 空出,离(职),退(位)
subtropic a.亚热带的,副热带的
scenic a.舞台的, 景色优美的.n.风景照片
comic n.滑稽演员.a.滑稽的, 喜剧的
tusk n.长牙.vt.以牙刺戳
meaty a.肉的,多肉的
resilient n.帕特森（美国一座城市）
indigestible a.不吸收的,难理解的
subtitle n.说明对白的字幕.vt.给…加字幕
prolifically a.丰富地,多产地
rigidity n.刻板,严格
soar vi.高飞,昂扬.n.高涨程度
dismantle v.拆除
working-class n.工人阶级,劳动阶级
riverbank n.河堤, 河岸
landslip n.[地]山崩,塌方
ephemeral a.朝生暮死的, 短暂的
low-intensity a.低强度的
monotonous a.单调的,无抑扬顿挫的
aquatic a. 水的,水生的.n.水生动物
unionization n.联合, 结合
aboveground a.在地面上的.ad.地面上地
encroachment n.侵蚀, 侵犯
semicircular a.半圆的
snout n.猪嘴,鼻子
weightlessness n.无重状态
suggestive a.提示的,暗示的
rougher n.粗切机,粗选槽
peat n.泥煤, 泥炭块
mystique n.神秘性,奥秘
lengthwise a.纵长的.ad.纵长地
victorian a.维多利亚女王时代的
human-related a.与人类相关的
chile n.智利
hander n.支持器,夹头
alpha n.希腊字母的第一个字母
pumped-storage n.抽水蓄能
dart n.标枪, 镖.v.投掷
prevalence n.流行,普遍
west-side a.西面的,西方的
sleeper n.睡眠,枕木
colonizer n.殖民者,殖民地开拓者, 移民
welland n.韦兰（加拿大东南部港口城市）
unmatched a.无与伦比的,不相配的
nutritive a.营养的.n.营养物
inception n.起初, 获得学位
shade-grown a.避光生长的
morris n.  莫理斯舞(英国传统民间舞蹈)
nonfiction n.非小说的散文文学
brilliantly ad.辉煌地,灿烂地
flexibly ad.易曲地, 柔软地
sandal n.凉鞋, 檀香
cumulative a.累积的
rigor n.严格,精确
grotto n.洞穴,人工洞室
prostrate a.降伏的,俯卧的.vt.使屈服
protector n.保护者
bode v.预示
hump n.驼峰,峰丘.v. (使)隆起
indecipherable a.无法解释的,难辨认的
substantiate vt.使实体化,证实
peru n.秘鲁
diva n.歌剧中的首席女主角
nonstop a.不断的,直达的.ad.不休息地
bifocal a.双焦点的
cougar n.[动]美洲狮(尤指felis concolor)
smear v.涂污,弄脏.n.油迹, 涂片
ocher n.黄土, 赭土
high-quality a.高品质的
obliterate vt.涂去, 删除, 使湮没
aspiration n.热望, 渴望
conceivable a.可能的,想得到的
internationally ad.国际性地, 在国际间
greenish a.呈绿色的
succinct a.简洁的, 紧身的
short-range a.短距离的,短期的
midway n.中途,半路.a.中途的.ad.在中途
unsung a.未唱的,未赞颂的
fungicide n.杀真菌剂
popularize v.普及
changeable a.可改变的,无常的
responsive a.响应的,应答的
decision-making n.决策.a.决策的
concise a.简明的,简练的
figural a.借喻的,比喻的
determinant a.决定性的.n.决定因素
overtax vt.课税过重, 使负担过度
custodial a.保管的,保管人的.n.[宗]圣物保管容器
academician n.院士, 大学生
cole n.油菜, 小菜
impressionistic a.印象派的,给人深刻印象的
fortuitously ad.偶然地,意外地
thriller n.使人毛骨悚然的东西, 使人毛骨悚然的小说
plentifully ad.丰富地,富裕地
monopolize vt.独占, 垄断
breadbasket n.<俚>胃, 腹
annihilate v.消灭,湮灭
hypothesize v.假设,假定
sectional a.可组合的,部分的
routinely ad.例行公事地
predicament n.困境,窘状
divergence n.分歧
oceanography n.海洋学
outbuilding n.[建]外屋, (指车库, 谷仓等)
forbes n.福布斯（美国著名财经杂志）
grama n.美国西部产的一种牧草
rhyolite n.[地]流纹岩
comparably ad.同等地,可比较地
transmitter n.转送者,传导物,发射机
coarse-grained a.粗纹理的,粗颗粒的
exponential n.指数.a.指数的, 幂数的
gesso n.(雕刻、绘画用的)石膏, 石膏粉
capitalism n.资本主义
deference n.顺从, 尊重
cumbersome a.笨重的,累赘的
weft n.[纺]织物,信号旗
dire a.可怕的,极端的
pendant n.垂饰, 下垂物
basketmaking n.篮子编织
generalist n.多面手,通才
kennel n.狗窝.v.置于狗窝,关进狗窝
postmaster n.邮局局长
interestingly ad.有趣地
perfume n.芳香,香水.v.使发香,洒香水于
concomitant a.伴随的.n.伴随物
rigidly ad.坚硬地, 严格地
renounce v.宣布放弃,断绝关系
observatory a.天文台,气象台
forward-looking a.有远见的, 向前看的
urbanism n.都市生活,都市化
refrigeration n.冷藏, 致冷
harshly ad.严厉地, 苛刻地
chitin n.壳质, 角素
jules n.朱尔斯（男子名）
triassic a.[地]三叠纪的.n.三叠纪
adjunct n.附件, 助手.a.附属的
glasswork n.玻璃制品.v.制成玻璃状的
sate vt.使心满意足
flier n.飞行者,快车,宣传单
deplorable a.可叹的,凄惨的
loneliness n.孤独, 寂寞
interchangeable a.可互换的,可交换的
bizarre a.奇异的(指态度,容貌,款式等)
definitive a.最后的,确定的
puncture n.小孔.v.刺破
glandular a.腺的,腺状的
glycoside n.[化]配醣, 配糖类
interactive a.交互式的,相互作用的
preform vt.预先形成.n.粗加工的成品
unusable a.不能用的,与众不同的
inducible a.可诱导的,可导致的
sepal n.萼片
snippet n.小片, 片断
glycoprotein n.[化]糖蛋白类, 醣蛋白
cardiac n.强心剂.a.心脏的, (胃的)贲门的
glial a.神经胶质的
autonomic a.自治的, 自律的
preoccupation n.全神贯注,当务之急
coyote n.一种产于北美大草原的小狼, 山狗
endowment n.捐赠,天资,捐款
puddle n.水坑, 泥潭.v.搅浊,搅泥泞
proboscis n.鼻子,[昆] 喙
crimson a.深红色的.v.变深红色.n.深红色
exhaustion n.耗尽枯竭,疲惫,竭尽
anthropological a.人类学的,人类学上的
counter-clockwise a.逆时针的
structurally ad.在结构上
polyphony n.复调音乐, 多音
cornet n.圆锥形纸袋, 短号
maize n.玉米, 黄色.a.玉米色的
chivalry n.骑士精神, 骑士制度
unadorned a.朴素的,未装饰的
hotelkeeper n.旅馆经营者
paraphrase v.解释.n.释义
unselfish a.无私的,慷慨的
disco n.迪斯科舞厅
nonself n.(有机体的)异物
ragtime n. 拉格泰姆音乐.a.使人发笑的
high-tensile a.高强度的
unrestricted a.自由的,无限制的
quasar n.恒星状球体, 类星体
concertina n.类似风琴的六角形的乐器
quill n.羽茎,大翎毛.vt.刺穿
bolster n.垫子.vt.支持
exhale v.呼气,发出
angstrom n.[物理]埃(长度单位)
microscopy n.显微镜检查,显微镜使用
narcotic n.麻醉药,镇静剂.a.麻醉的
narcosis n.昏迷状态, 麻醉
embolism n.加闰日, 栓塞
rupture v.破裂,裂开.n.破裂, 决裂
abrasion n.磨损
proportionally ad.成比例地,相称地
virgo n.室女宫,室女(星)座
freighter n.货船,承运人
thinly ad.稀疏地,瘦
andromeda n.埃塞俄比亚的公主, 仙女座
yardstick n.<美> 码尺, 准绳
exalt v.晋升
monoxide n.一氧化物
ingot n.[冶]锭铁, 工业纯铁
premature a.未成熟的,早熟的
grievance n.委屈, 冤情, 不平
conjectural a.推测的,好推测的
notch n.槽口,刻痕.vt.刻凹痕
oystercatcher n.〈动〉蛎鹬
shorebird n.岸禽类鸟,沙禽
photogrammetry n.照相测量法
mandible n.下颚, 下颚骨
attire n.服装.v.打扮
unravel v.拆开,拆开
glassmaking n. 玻璃(或玻璃器皿等)制造(术)
katherine n.凯瑟琳（女子名）
malleability n.有延展性, 柔韧性
deft a.敏捷熟练的, 灵巧的
robust a.精力充沛的
baedeker n.旅行指南, 入门手册
microfossil n.微体化石,微化石
entomb vt.埋葬, 成为...的坟墓
burgher n.公民, 市民
puffin n.[鸟]角嘴海雀
insoluble a.不能溶解的, 不能解决的
unemployed a.失业的, 未被利用的
immobility n.牢固,不动
hydrographic a.水道测量数的,水道学的
portraiture n.肖像画法
talented a.有才能的
filmmaker n.电影摄制者
understate v.打着折扣说,有意轻描淡写
narrate v.叙述,作解说
consort v.结交,符合.n.配偶
gannet n.塘鹅
underwing n.后翅, 后翅色彩瑰丽的蛾
exorbitant a.（要价等）过高的,（性格等）过分的
gondwanaland n.[地]冈瓦纳大陆
herring n.青鱼, 鲱
earner n.赚钱的人
angular a.[生物] 有角的,生硬的,笨拙的
wren n.[动] 鹪鹩
kinglet n.<贬>懦弱的国王,小国君主
uniformity n.一致,均匀
priestess n.女祭司, (基督教会以外的)神职人员
neoclassical a.新古典主义的
thousandfold ad.千倍地.a.千倍的
enjoyment n.享乐, 快乐
forester n.林务官, 森林人
spoilage n.  损坏
nonthreatening a.非胁迫的
solder n.焊料.v.焊接
harshness n.粗糙的事物, 严肃, 刺耳
collagen n.胶原质
sumptuous a.奢侈的,华丽的
synchrotron n.同步加速器
familiarity n.熟悉,通晓,精通
government-subsidized a.政府资助的
stringent a.严厉的,迫切的
cabinetmaker n.家具师,细工木匠
supervisory a.监督的
resentment n.怨恨,愤恨
purposely ad.故意地,蓄意地
irresponsibly ad.不负责任地,不可靠地
grapple v.格斗,抓住.n.格斗
revealingly ad.启发人地,袒胸露肩地
rearrange vt.再排列,重新整理
self-disciplined a.有自我约束力的,能律己的
armory n.兵工厂,军械库
courtship n.求爱, 求爱时期
sleek a.圆滑的,使…光滑
corselet n.盔甲,胸衣
keel n.龙骨(船的脊骨),平底船.v.装以龙骨,倾覆
secrecy n.秘密,保密
lira n.里拉（意大利货币单位）
livelihood n.生计,谋生
impediment n.妨碍,口吃, 障碍物
nurture n.养育,教育.vt.养育,给与营养物
silhouette n.侧面影象,轮廓.v.使…照出影子来
misinterpret vt.曲解
marketable a.市场的,可销售的
mudstone n.[地]泥岩
carcass n.(屠宰后)畜体
meteoritic a.陨星的,陨石的
offshoot n.分支, 支流
inborn a.天生的,生来的
stereotypical a.老一套的,陈规的
manipulation n.处理,操纵
lifelike a.栩栩如生的,逼真的
bipedal a.两足动物的,两足的
antiquate a.旧式的,过时的
chondritic a.球粒状陨石的
replicate v.复制.a.复制的
weldon n.韦尔登（男子名）
stonework n.石雕工艺, 做石工的场所
unanswered a.未答复的,无反应的
aggregate n.合计.v.聚集, 集合
mantel n.壁炉架
desalination n.减少盐分, 脱盐作用
reappear vi.再出现
carton n.硬纸盒, 纸板箱
wan a.苍白的,病态的.v.(使)变苍白
elegance n.高雅,典雅
duchenne n.杜氏营养不良症
reopen v.重开,再开始
immutable a.不变的,不可变的
pave v.铺,安排
permeability n.渗透性
consolidation n.巩固, 合并
waterfowl n.水鸟, 水禽
efficacious a.有效的,灵验的
permeable a.有浸透性的, 能透过的
fanwise ad./.a.呈扇形展开的
riverbed n.河床
expertly ad.熟练地
stipulate v.规定, 保证
sandbar n.沙洲
contingent a.可能发生的, 附随的.n.偶然的事情
congenial a.意气相投的,性格相似的
faucet n.龙头, (连接管子的)插口
alienate v.疏远
well-regulated a.井然有序的,管理好的
implicit a.暗示的,盲从的
preponderance n.优势,占优势
imperfect a.有缺点的,未完成的.n.未完成体
homeotherm n.<主美>恒温动物
drape n.窗帘.v.使褶皱
practicality n.实用性,实际
pictorial a.图示的.n.画报
bland a.温和的,乏味的.v.变得乏味
unschooled a.天生的,未受学校教育的
burgeon n.嫩芽.v.萌芽
ashcan n.垃圾桶, 深水炸弹
literalness n.文字的,表面意义上的
flyspeck n.污点,小斑.v.弄脏
rennin n.高血压蛋白原酶
hormonal a.荷尔蒙的,激素的
angiotensin n.[医]血管紧缩素
deprivation n.剥夺
aldosterone n.[生化]醛甾酮,醛固酮
self-taught a.自学
mandate n.(书面)命令,训令.vt.委任统治
mammalian n.哺乳动物.a.哺乳动物的
unfairly ad.不公平地,不正当地
irrelevant a.不相干的,不切题的
burdensome a.繁重的,难以承担的
confederate n.同盟者,同盟国.a.同盟的.v.(使)联盟, 联合
convict vt.证明...有罪.n.罪犯
authorization n.授权,认可
gymnastic a.体操的,体育的.n.训练课程
peacetime n.和平时期.a.和平时期的
readjust v.重新调整,再调整
pre-modern a.前近代
rivalry n.竞争,竞赛,敌对
steam-powered a.蒸汽动力的
well-preserved a.妥善保管的
nobility n.高贵,贵族
ponderous a.笨重的,沉闷的
thresher n.打谷者, 打谷机, [鱼]长尾鲨
cohesion-tension a.凝聚力的
enactment n.设定,制定
seafood n.海产食品, 海味
besiege vt.围困,围攻
unsubstantiated a.未经证实的,无事实根据的
self-binding a.自我束缚的
unaware a.不知道的, 没觉察到的
semimolten a.半熔的
incinerate v.把...烧成灰,烧弃
topographical a.地志的,地形学的
canyon n.<美>峡谷, 溪谷
falconer n.以鹰狩猎者,养鹰者
lien n.留置权,抵押品所产生的利息
starfish n.  海星
dismember vt.肢解,割断手足
twenty-odd a.二十多个
unquestionably ad.无可非议地,确凿地
phylum n. (生物分类学上的)门, 语群
spinet n.古时的小型竖琴, 小型立式钢琴
supremacy n.地位最高的人,至高,霸权
rumor n.流言,谣言.vt.谣传, 传闻
mandan n.曼丹人,其语言.a.曼丹人的
passageway n.过道,出入口
gothic n.哥特式.a.哥特式的,野蛮的
bluff n.断崖,诈骗.a.绝壁的.v.诈骗
versatility n.多功能性
tonal a.音调的
inconvenient a.不便的,打扰的
contributor n.贡献者,捐助者
overcultivation n.耕种过度
saguaro n.仙人掌之一种
transcend vt.超越, 胜过
taproot n.[植]主根, 直根
firing n.开火, 生火.v.开火,烧制
distributor n.发行人,经销商
heed n.注意,留意.v.注意,留意
seminar n.研究会,讨论发表会
flavor n.情味, 风味.vt. 加味于
adequacy n.  适当, 足够
uninteresting a.无趣味的，乏味的
minstrel n.  吟游诗人(或歌手)
irreversible a. 不可逆的,不能取消的
ling n.  鳕鱼, 石南之一种
phosphate n.  磷酸盐
apiece ad.  每个, 每人, 各
walker n.  徒步者, 参加竞走者
deteriorate v.  (使)恶化
taut a.  (绳子)拉紧的,紧张的.vt. 使纠缠
stretcher n.  担架, 延伸器
hoof n.  蹄 v.  踢
discolor v.  使脱色, (使)变色,(使)退色
foreleg n.  前肢(指四肢或多肢动物的)前脚
buckskin n.  鹿皮裤, 鹿皮
fortify vt. 增强(体力,结构等).vi.  筑防御工事
suspender n.  吊裤带, 悬挂物, 吊杆, 袜吊
buckle n.  带扣 v.  扣住, 变弯曲
chafe v.  (将皮肤等)擦热, 使恼火
tourniquet n.  止血带, 压脉器
bandanna n.  大手帕
vestigial a. 退化的,发育不全的
harem n.  （伊斯兰教教徒之）闺房, 为一个雄性动物所控制的许多雌性动物
nonfunctional a.不运行的
land-dwelling a.陆生的
everest n.  珠穆朗玛峰(世界最高峰)
computer-assisted a.计算机辅助
monroe n.  门罗(m.)
flesh-eating a.食肉的
concede vt.  勉强, 承认, 退让 vi.  让步
jawbone n.  颚骨, 下颚骨, 信用 v.  赊买
selective a.  选择的, 选择性的
iraq n.  伊拉克共和国
grande a. 重大的，显要的
facelift n. 整容手术（除去面部皱纹）
donation n.  捐赠品, 捐款, 贡献
massif n.  山丘
atlas n.  地图, 地图集
sterilize vt.  杀菌, 消毒, 使成不毛
reenter n.  重进入, 再加入.v.重返
rapport n.  和谐, 亲善
gripe n.  紧握, 柄.v.握紧
socialization n.  社会化, 社会主义化
eyewitness n.  目击者, 见证人
conglomerate v.  聚结.n.企业集团
entail vt.  使必需, 使蒙受.n.  [建]限定继承权
railhead n.  铺设中的铁路末端, 终点
preferential a. 优先的；选择的
cerebral a.  脑的, 大脑的
kenya n.  肯尼亚
cleanly ad.  干净地, 清洁地
quina n.  [植]金鸡纳树皮, 奎宁
unresolved a.  未解决的，未决定的
non-western a.非西方的
exhilarate vt.  使高兴, 使愉快
choreography n.  舞蹈术, 舞台舞蹈
teem v.  大量出现
premiere v.  初次公演.n.  初次的演出 .a. 杰出的
screening n.  放映.v.遮蔽,筛选
exemplary a. 典范的,惩戒性的
austrian n.  奥地利人 .a.  奥地利的, 奥地利人的
watershed n.  分水岭
periodization n.  (历史等的)时期(或时代)划分
homemaker n.  主妇
chronicle n.  编年史 .vt.  编入编年史
substrate n.（土地）底层,基础
sustenance n.  食物, 生计, (受)支持
charitable a. 慈善事业的,慷慨的,仁慈的
tremendously ad. 非常地,可怕地,惊人地
perceptive a. 感知的,知觉的
legacy n.  遗赠(物), 遗产
painstaking n. 辛苦 .a.  辛苦的, 辛勤的
unsure a.  没有自信的, 不确定的
loess n.  黄土
ill-equipped a. 装备不良的
reflectivity n.  反射率
dishabituate vt. 使戒除(或放弃)习惯,使不习惯
roughness n.  粗糙, 未加工, 粗糙程度
responsiveness n. 响应能力,有同情心
electro n.  电镀物品, 电版
neutrality n.  中立, 中性
alkaline a. 碱性的，碱的
ballad n.  民歌, 流行歌曲
ratify vt.  批准, 认可
conflate vt.  合并
cardboard n.  纸板
catechism n.  问答教学法, 问答集
convection n.  传送, 对流
counterbalance vt.  使平均, 弥补 .n.  平衡量, 平衡力
creditor n.  债权人
regionalization n.  分成地区, 按地区安排
cany a. 藤的,状似手杖的
telescopic a. 望远镜的,[眼科] 远视的
crayfish n.  小龙虾
geophysical a. 地球物理学的
synchronize v.  同步
fluffy a.  绒毛似的, 蓬松的
militarily ad.  以武力, 以军事行动
enforcer n. 实施者,强制执行者
ostracize vt.  (古希腊)贝壳放逐法, 放逐, 排斥
extracurricular a.  课外的, 业余的
chronobiology n.  [生]时间生物学, 生物钟学
songwriter n.  歌曲作家，歌曲作者
spotlight n.  聚光灯
earth-based a.  地面的
inducement n. 诱因, 刺激物
vogue n.、a.  流行（的）, 时髦（的）
overgeneralize vt. 太笼统地概括
keplerian a. 开普勒理论的,开普勒定律的
grinder n.  磨工, 研磨者
galilean a.  伽利略的, 加利利的（位于巴基斯坦北部）
align v.  排列，使结盟
diffusely ad. 广泛地,扩散地
caucasian n.  高加索人 .a.  高加索的, 白种人的
korean n.  韩国人, 韩国语 a. 朝鲜人的, 朝鲜语的
crescent n.  新月, 月牙
